"species","year","julian","lat","lon"
"Protea acaulos",1933,350,-33.875,19.375
"Protea acaulos",1961,355,-34.375,19.125
"Protea acaulos",1961,355,-34.375,19.625
"Protea acaulos",1947,306,-33.875,19.125
"Protea acaulos",1951,307,-32.625,18.875
"Protea acaulos",1954,318,-34.625,19.375
"Protea acaulos",1958,308,-33.625,19.125
"Protea acaulos",1972,310,-32.875,19.125
"Protea acaulos",1972,321,-34.625,19.875
"Protea acaulos",1974,307,-33.125,19.375
"Protea acaulos",1977,319,-33.125,19.125
"Protea acaulos",1989,313,-33.875,18.875
"Protea acaulos",1993,328,-34.875,19.875
"Protea acaulos",1999,308,-32.375,18.875
"Protea acaulos",1923,295,-32.375,19.375
"Protea acaulos",1923,284,-32.375,19.125
"Protea acaulos",1928,297,-33.875,18.875
"Protea acaulos",1940,277,-32.625,19.125
"Protea acaulos",1943,292,-33.875,19.125
"Protea acaulos",1949,288,-33.625,19.125
"Protea acaulos",1952,277,-33.875,18.875
"Protea acaulos",1952,279,-32.375,19.125
"Protea acaulos",1953,285,-32.125,18.875
"Protea acaulos",1955,283,-34.375,19.625
"Protea acaulos",1956,280,-33.375,19.125
"Protea acaulos",1963,286,-32.875,18.875
"Protea acaulos",1965,292,-32.125,18.875
"Protea acaulos",1966,297,-33.125,19.375
"Protea acaulos",1974,283,-34.375,19.125
"Protea acaulos",1975,298,-33.125,19.375
"Protea acaulos",1977,292,-33.875,19.375
"Protea acaulos",1983,288,-32.375,19.125
"Protea acaulos",1994,285,-34.125,18.875
"Protea acaulos",1911,268,-32.625,19.125
"Protea acaulos",1926,246,-33.625,18.875
"Protea acaulos",1928,265,-34.125,18.875
"Protea acaulos",1929,250,-32.625,18.875
"Protea acaulos",1935,271,-33.875,19.125
"Protea acaulos",1936,270,-32.625,19.125
"Protea acaulos",1937,268,-32.125,19.125
"Protea acaulos",1937,266,-32.125,19.125
"Protea acaulos",1937,267,-32.375,19.125
"Protea acaulos",1938,244,-34.125,18.375
"Protea acaulos",1940,273,-32.125,18.875
"Protea acaulos",1941,249,-34.125,18.375
"Protea acaulos",1945,252,-34.375,19.875
"Protea acaulos",1945,260,-33.875,18.875
"Protea acaulos",1946,265,-34.125,19.125
"Protea acaulos",1948,249,-32.625,19.125
"Protea acaulos",1949,263,-34.125,18.375
"Protea acaulos",1950,256,-33.375,19.125
"Protea acaulos",1950,253,-32.875,18.875
"Protea acaulos",1951,255,-32.625,18.875
"Protea acaulos",1953,268,-34.625,19.875
"Protea acaulos",1953,266,-33.625,24.125
"Protea acaulos",1954,261,-34.125,19.125
"Protea acaulos",1954,244,-33.625,19.125
"Protea acaulos",1958,271,-33.125,19.375
"Protea acaulos",1958,252,-32.125,18.875
"Protea acaulos",1958,264,-33.875,18.375
